	ar_context	ar_label	name	hdi_context	hdi_label	purported_uses	ar_flag	hdi_flag
60	Hepatitis: In a 52-year-old man following consumption of an herbal supplement containing artemisinin (17).,Dermatitis: With topical use of artemisia (11).,Ototoxicity and vertigo: Possibly related to oral artesunate, an active artemisia compound, among several advanced breast cancer patients in a safety trial (13) (21). The study drug was otherwise largely well tolerated among patients.	Hepatitis,Herbal supplement,Dermatitis,Ototoxicity,Vertigo,Advanced breast cancer,Breast cancer,Cancer	Artemisia annua	Antiseizure medications: Artemisia can induce seizures resulting in decreased efficacy of antiseizure medications (11).,Cytochrome P450 (CYP450) substrates: Artemisia extracts have induced CYP2B6 and CYP3A4 (27) and may affect the serum concentration of drugs metabolized by these enzymes.		Malaria,Inflammation,Cancer treatment	True	True
64	Nausea, headache, and gastritis: Occurred in one study and managed with standard therapies (41),Thyrotoxicosis: In a 32-year-old woman following ingestion of ashwagandha capsules for chronic fatigue. Symptoms resolved after discontinuing ashwagandha (25).,Burning, itching, and discoloration of skin/mucous membrane: In a 28-year-old man after taking ashwagandha for decreased libido. Symptoms abated with conventional treatment (33).,Ventricular tachycardia: 2 cases were possibly associated with the use of herbomineral preparations that contained ashwagandha (45).	Nausea,Headache,Gastritis,Thyrotoxicosis,Chronic fatigue,Fatigue,Itching,Ventricular tachycardia,Tachycardia	Ashwagandha	Triazolam: May potentiate the sedative effects of triazolam (30) .	Triazolam	Anxiety,Diabetes,Digestive disorders,Epilepsy,Fatigue,Pain,Rheumatoid arthritis,Sleep,Stress	True	True
68	Fatigue, malaise, headache, and lowering of blood pressure have been reported (38).	Fatigue,Malaise,Headache,Blood pressure	Astragalus	Immunosuppressants: Theoretically, astragalus may antagonize the effects of immunosuppressants such as tacrolimus and cyclosporine.,Hormonal therapies: Astragalus and its constituents have estrogenic (23) (50) properties and may interfere with their actions.,Anticoagulants: In vitro studies suggest that astragalus and its constituents have anticoagulant properties (52), which may increase bleeding risk when used with these drugs.,Diuretics: In a small study, astragalus was shown to have natriuretic effects (8) and may therefore have additive effects with these medications.,Antihypertensive drugs: Astragalus extract can lower both systolic and diastolic blood pressure and may have additive effects with other antihypertensive drugs (38).,P-glycoprotein substrates: Astragalus polysaccharides can inhibit P-glycoprotein efflux pump function. This may increase the cytotoxicity of chemotherapy drugs, including doxorubicin, etoposide, and vincristine (58).	Tacrolimus,Cyclosporine,Doxorubicin,Etoposide,Vincristine	Cardiovascular disease,Chemotherapy side effects,Diabetes,Immunostimulation,Microbial infection,Strength and stamina	False	True
72	Following ingestion of Avlimil, minor irritation including stomach upset has been reported (1).	Stomach upset	Avlimil	 	 	Female sexual dysfunction	False	False
76	Ayurvedic preparations can contain varying amounts of lead and have caused severe gastrointestinal symptoms and anemia due to lead poisoning (23) (24) (32) (33) (34) (35) (36) (37) (38) (42).,Adhatoda vasica), an herb often used for respiratory tract ailments, was shown to exert oxytocic and abortifacient effects (16) (19) (25) (26) (27) (28) (29).,Arsenic poisoning, manifested by hyperkeratosis, neuropathy, splenomegaly and anemia, has been reported following use of ayurvedic medications for dermatitis, vitiligo and diabetes (39).,Ayurvedic formulations containing heavy metals and hepatotoxic volatile organic compounds can cause acute liver injury and death (43).,Ingestion of ayurvedic tablets by a pregnant woman resulted in fatal congenital defects in the fetus. Analysis of the tablets revealed presence of lead (47%), mercury (1.7%) and arsenic (<0.01%) (44).	Lead,Anemia,Anaemia,Lead poisoning,Poisoning,Hyperkeratosis,Neuropathy,Splenomegaly,Dermatitis,Vitiligo,Diabetes,Acute liver injury,Liver injury,Injury,Death,Pregnant	Ayurveda	"Phenytoin: The Ayurvedic syrup shankhapushpi causes decreased blood concentrations of phenytoin (27).
Cytochrome P450 enzymes: Guggul induces CYP3A4 activity and may interact with medications that are metabolized by the CYP3A proteins (30)."	Phenytoin,Activity,Proteins	Acne,Atherosclerosis,Cancer prevention,Cancer treatment,Cardiovascular disease,Depression,Diabetes,Health maintenance,Hepatitis,High cholesterol,Hypertension,Indigestion,Infections,Memory loss,Parkinson’s disease,Rheumatoid arthritis,Weight loss	False	True
80	Carotenodermia (yellowish, harmless discoloration of the skin) was reported following chronic intake of food and supplements containing large amounts of carotenoids (36) (37) (38) (43).	Food	Beta-Carotene	"Ethanol: Hepatotoxic effects of ethanol may be potentiated by high doses of beta-carotene. A large-scale cohort study in the Netherlands found that alcohol consumption has a negative effect on the chemopreventive activity of beta-carotene.
 (9) (19)"	Ethanol,Activity	Cancer prevention,Cardiovascular disease,Cataracts,HIV and AIDS,Immunostimulation,Macular degeneration,Oral leukoplakia	False	True
84	 	 	Beta-elemene	Chemotherapy: Beta-elemene may increase the activity of cisplatin and taxanes (6) (7).,Radiation: Beta-elemene may increase the effects of radiation (8).	Activity,Cisplatin	Cancer Treatment	False	True
88	"Case report
Rectal bleeding following long-term overconsumption of bilberry has been reported in a 77-year-old man on warfarin therapy, requiring two emergency room visits, treatment with fresh plasma infusions, and hospitalization to evaluate inconsistent international normalized ratio (INR) values (33) (34)."	Rectal bleeding,Bleeding,Hospitalisation,Hospitalization,International normalized ratio,International normalised ratio,INR	Bilberry Fruit	"Anticoagulants / Antiplatelets: Bilberry may potentiate the risk of bleeding (33) (34).
Aspirin and aspirin products: Bilberry can have added or synergistic antiplatelet effects, and increase the risk of bleeding (35).
Non-steroidal anti-inflammatory drugs (NSAIDs): Bilberry may have added or synergistic antiplatelet effects, and increase the risk of bleeding (35).
Chemotherapy drugs: Bilberry may interfere with the actions of certain chemotherapy drugs and radiation therapy (25) ."	Aspirin	Cancer prevention,Ocular disorders,Circulatory disorders,Diabetic retinopathy,Diarrhea,Mucositis,Visual acuity	False	True
92	 	 	BioResonance Therapy	 	 	Allergies,Asthma,Atopic dermatitis,Cancer treatment,Rheumatoid arthritis	False	False
96	 	 	Biotin	 	 	Acne,Brittle nails,Dermatitis,Diabetic neuropathy,Hair loss,Multiple sclerosis	False	False
100	Hypoglycemia and hepatotoxicity were reported in animal studies (27).,Toxicity: Ingestion of vicine (seed) may cause favism characterized by headache, fever, abdominal pain, and coma (38).,Case Reports,A 22-year-old man experienced atrial fibrillation with rapid ventricular response following ingestion of bitter melon two days before his admission for his dyspeptic complaints. He ingested crushed bitter melon and drank two tablespoons of its juice three times a day, and on the morning of admission as well. His symptoms improved after administering antiarrhythmic medication (28).,A 40-year-old man developed acute gastric ulceration following consumption of half a liter of concentrated homemade liquid extract of bitter melon. His symptoms included severe epigastric pain and hematemesis, which were managed with intravenous fluids, blood transfusion and intravenous rabeprazole (29).,Gastrointestinal problems have been reported with use of bitter melon (19).,Bitter melon may cause a non-allergic type-I like hypersensitivity reaction (33).,Acute interstitial nephritis due to severe acute kidney injury has been associated with the use of an Ayurvedic formulation (containing bitter melon and other herbs) in a 60-year-old male with diabetes mellitus and hypertension (42).	Hypoglycaemia,Hypoglycemia,Hepatotoxicity,Animal,Favism,Headache,Fever,Abdominal pain,Pain,Coma,Atrial fibrillation with rapid ventricular response,Atrial fibrillation,Fibrillation,Epigastric pain,Haematemesis,Hematemesis,Blood transfusion,Transfusion,Hypersensitivity reaction,Hypersensitivity,Acute interstitial nephritis,Nephritis,Acute kidney injury,Injury,Diabetes mellitus,Diabetes,Hypertension	Bitter Melon	P-glycoprotein substrates: Bitter melon inhibits P-glycoprotein and can increase the interacellular concentration and toxicity of substrate drugs, including vinblastine and paclitaxel (11) (12). Clinical significance has yet to be determined.,Cytochrome P450 substrates: Bitter melon extract inhibits CYP2C9 and may affect the metabolism of substrate drugs (30). Clinical significance has yet to be determined.,Insulin: Bitter melon may have an additive effect when used concomitantly (8).,Hypoglycemics: Bitter melon may have additive effects when used concomitantly (8) (34).,Chemotherapy: Bitter melon extracts may increase bioavailability and efficacy of certain chemo agents, in vitro (35). Clinical significance has yet to be determined.	Vinblastine,Paclitaxel,melon extract	Cancer prevention,Diabetes,Fever,HIV and AIDS,Infections	True	True
104	Gastrointestinal upset and rashes are most common followed by dizziness, headaches, nausea, and vomiting when higher than normal doses are taken (27),Hepatotoxicity has been reported following use of black cohosh (18) (20) (33) (34) (47).,Two cases of liver injury resembling autoimmune hepatitis were reported after taking black cohosh. Both patients responded to treatment with corticosteroids (35).,A case of coagulation activation, fluid retention, and transient autoimmune hepatitis has been reported associated with use of black cohosh (38).,Bradycardia was observed in a woman following use of black cohosh (41).,Orobuccolingual dyskinesia (OBLD), involving interference with speech, tongue-biting, and eating difficulties, has been reported in a 46-year-old woman while taking a herbal supplement containing black cohosh and ginseng (48).	Gastrointestinal upset,Dizziness,Headaches,Nausea,Vomiting,Hepatotoxicity,Liver injury,Injury,Autoimmune hepatitis,Hepatitis,Fluid retention,Bradycardia,Dyskinesia,Herbal supplement	Black Cohosh	"Tamoxifen: Black cohosh may interfere with the action of tamoxifen  (42). Clinical relevance is not known.
Chemotherapy drugs: Black cohosh may increase the toxicity of doxorubicin and docetaxel (13). Clinical signficance has yet to be determined.
Cytochrome P450 3A4: Black cohosh may interact with drugs that are metabolized by CYP3A4 enzyme (17).
Simvastatin: Black cohosh and actein (a compound isolated from black cohosh) have synergistic effects with simvastatin, resulting in enhanced activity. But there is also potential for increased side effects (56)."	Tamoxifen,Doxorubicin,docetaxel,Enzyme,Simvastatin,Activity	Dysmenorrhea,Menopausal symptoms,Premenstrual syndrome,Sedation	False	True
108	Consumption of a slimming product containing 20 different herbs, bladder wrack being one of them, resulted in hemorrhagic cystitis in a 33-year-old woman. Symptoms resolved after discontinuing the product (8).	Hemorrhagic cystitis,Cystitis	Bladder wrack	Cholesterol-lowering and antihypertensive medications: Theoretically, bladder wrack may have an additive effects (1).,Cytochrome P450 substrates: Bladder wrack inhibits cytochrome P450 enzymes, thereby affecting the cellular concentration of drugs that are metabolized by these enzymes (7).,Amiodarone: Bladder wrack decreased the bioavailability of amiodarone (used to treat arrhythmia) in a study of rats (10).	Cholesterol,Amiodarone	Weight loss,Skin care,Cellulite,Hypothyroidism,Fatigue,Menstrual abnormalities	False	True
112	"Common: Dizziness, vertigo, nausea, vomiting, skin irritation, esophageal burning, burning of the gums, systemic burning, oral leukoplakia.
Rare: hypersensitivity reaction, angioedema.
 (11) (10) (14)
Case Reports
An 87-year-old Caucasian man with a history of basal cell carcinomas self-treated a new basal cell carcinoma over his left nasal ala with a “black salve” (a combination of zinc chloride and bloodroot). This resulted in complete loss of the nasal ala (24).
Two men, one with unremarkable medical history and the other with metastatic colon cancer used bloodroot salves for treating their skin lesions. The lesions in both men grew worse after application of the salve requiring hospitalization (26).
A 63-year-old man diagnosed with basal cell carcinoma preferred to self-treat the lesion with the black salve product containing 300 mg of bloodroot, galangal, red clover, and sheep sorrel. After a 4-month delay with no improvement, the patient consented to Mohs micrographic surgery. But a few months later, he was diagnosed with colon cancer and elected to self-treat with an oral black salve product and subsequently died (28).
A 60-year-old woman developed a large eschar on the right neck after using a blemish cream. The active ingredient in the cream was found to be Sanguinaria canadensis. The patient was treated with topical corticosteroids but was left with a scar from the healed eschar (29)."	Dizziness,Vertigo,Nausea,Vomiting,Skin irritation,Leukoplakia,Hypersensitivity reaction,Hypersensitivity,Angioedema,Cell,Basal cell carcinoma,Carcinoma,Zinc,Chloride,Metastatic colon cancer,Colon cancer,Cancer,Hospitalisation,Hospitalization,Mohs micrographic surgery,Surgery,Eschar,Scar	Bloodroot	Bloodroot may increase the risk of bleeding when used with anticoagulant, antiplatelet, or antiangiogenic drugs.,Bloodroot may interfere with the actions of antiarrhythmic drugs.		Bone resorption,Cancer,Infection,Inflammation,Oral Plaque,Sclerosing agent,Chronic cough,Warts,Migraines	True	False
116	"Anaphylaxis (16) (22)
Case Report: A 28-year-old man developed acute rhabdomyolysis after ingesting Spirulina supplements for one month. His symptoms resolved after discontinuing supplement use (17).
Case Report: A day-old baby was hospitalized for generalized seizures associated with hypercalcemia, found to be related to the mother’s long-term consumption of Spirulina supplements (18).
Cyanotoxin (e.g. anatoxin, saxitoxin, microcystins) contamination of AFA-algae and possibly Spirulina may cause hepatotoxicity, renal failure, neurotoxicity, seizures, respiratory arrest, acute pancreatitis, and cardiomyopathy.
 (2) (6) (9)"	Anaphylaxis,Rhabdomyolysis,Seizures,Hypercalcemia,Hypercalcaemia,Hepatotoxicity,Renal failure,Neurotoxicity,Respiratory arrest,Acute pancreatitis,Pancreatitis,Cardiomyopathy	Blue-green Algae	Cytochrome P450 substrates: Spirulina inhibits CYP 1A2 and 2E1, and may cause accumulation of drugs metabolized by these enzymes, thereby increasing the risk of their side effects (20).	Spirulina	Appetite suppression,Attention deficit hyperactivity disorder,Cancer prevention,Cancer treatment,Fatigue,High cholesterol,HIV and AIDS,Immunostimulation,Oral leukoplakia,Viral infections,Weight loss	True	True
120	"Occasional headache, abdominal pain, nausea, belching, and loose stools (20) (21).
Possible hepatotoxicity following chronic administration.
Case report
Status epilepticus: In an otherwise previously healthy 41-year-old woman with no family history of epilepsy, associated with borage oil ingested over 1 week (14)."	Headache,Abdominal pain,Pain,Nausea,Belching,Loose stools,Hepatotoxicity,Status epilepticus,Epilepsy	Borage	"Hepatotoxic drugs (eg, anabolic steroids, ketoconazole): Borage contains low concentrations of unsaturated pyrrolizidine alkaloids also known to cause hepatotoxic effects (13).
Anticoagulants (eg, warfarin): May increase bleeding risk or potentiate effects of warfarin therapy (32).
Nonsteroidal anti-inflammatory drugs (NSAIDs): Theoretically, concomitant use would decrease the effects of borage oil, as NSAIDs interfere with prostaglandin E synthesis (9)."	Ketoconazole,Warfarin,borage oil	Arthritis,Chest congestion,Cough,Depression,Dermatitis,Menopausal symptoms	True	True
124	Allergic contact dermatitis was reported following use of a topical cream containing an extract of Boswellia serrata (28).,A 17-year-old girl with celiac disease developed a gastric bezoar (accumulation of vegetable fiber, hair or other substances, in the stomach or small intestine) after excessive intake of olibanum (frankincense). Her symptoms, including epigastric pain and vomiting, resolved after the bezoar was surgically removed (29).,A clinical trial reported stypsis in some patients following use of boswellia extract for mild irritable bowel syndrome (38).	Allergic contact dermatitis,Contact dermatitis,Dermatitis,Coeliac disease,Celiac disease,Bezoar,Epigastric pain,Pain,Vomiting,Stypsis,Irritable bowel syndrome,Irritable bowel,Irritable	Boswellia	OATP1B3 (an anion transporter): Both 11-keto-beta-boswellic acid (KBA) and 3-acetyl-11-keto-beta-boswellic acid (AKBA) modulated the activity of OATP1B3 (30).,MRP2 (a multidrug resistant protein): Both 11-keto-beta-boswellic acid (KBA) and 3-acetyl-11-keto-beta-boswellic acid (AKBA) modulated the activity of MRP2 (30).,P-Glycoprotein (P-Gp): A Boswellia extract and keto-boswellic acids inhibit the activity of P-Glycoprotein in vitro, and may affect the transport of drugs mediated by this protein (31).,Anticoagulant and/or antiplatelet drugs: Boswellia extracts can inhibit platelet aggregation and may increase risk of bleeding when used with these drugs (34).	Activity	Arthritis,Asthma,Colitis,Inflammation,Radiation therapy side effects	False	True
128	"Common: Nausea and vomiting are the primary adverse effects.
Reported: Altered sense of taste, fatigue, dyspepsia, fever, dizziness, and edema of the scrotum following treatment with Catrix® bovine cartilage product
Common (parenteral only): Inflammation and redness at injection site
 (3) (4) (5)"	Nausea,Vomiting,Fatigue,Dyspepsia,Fever,Dizziness,Edema,Oedema,Inflammation,Redness,Injection	Bovine Cartilage	None reported.		Arthritis,Cancer prevention,Cancer treatment,HIV and AIDS,Immunostimulation	True	False
132	 	 	Bovine Colostrum	 	 	Colitis,Diarrhea,GI disorders,Immunostimulation,Infections	False	False
136	None reported.		Broccoli Sprouts	 	 	Cancer prevention,Cancer treatment,Bacterial Infections	False	False
140	Allergic reactions have been reported following use of bromelain. (21) (22)		Bromelain	"Cytochrome P450 2C9: Bromelain inhibits CYP2C9 activity and can affect metabolism of its substrates (12).
Antibiotics/Tetracyclines: Bromelain may increase blood and urine levels (23).
Anticoagulants: Bromelain may increase bleeding risk due to its antithrombotic effects (24)."	Activity	Arthritis,Bruises,Burns,Cancer prevention,Cancer treatment,Circulatory disorders,Edema,Indigestion	False	True
144	Lactovegetarians may be at greater risk for vitamin B12 deficiency (3).,Excessive sun exposure and tanning beds can increase risk of melanoma and skin cancers (4).,Adverse events associated with flaxseed consumption include gastrointestinal discomfort such as gas, bloating, constipation, stomach ache, and frequent bowel movements (18).	Vitamin B12 deficiency,Vitamin B12,Vitamin,Tanning,Melanoma,Gastrointestinal discomfort,Discomfort,Gas,Bloating,Constipation,Stomach ache,Ache,Frequent bowel movements	Budwig Diet	"Drug interactions for the Budwig Diet have not been investigated.
Drug interactions for flaxseed supplementation include:
Anticoagulant/Antiplatelet drugs: Flaxseed may increase bleeding time and reduce platelet aggregation (19).
Antidiabetic drugs: Lignans in flaxseed may lower fasting glucose levels (20).
Ketoprofen: Flaxseed may decrease the absorption of ketoprofen (21).
Metoprolol: Flaxseed may decrease the effects of metoprolol (21)."	Glucose,Ketoprofen,Metoprolol	Cancer prevention,Cancer treatment	False	True
148	"Case reports
Increased risk of liver injury: In hepatitis B patients using Chinese herbal products containing >19 g of bupleurum (24) .
Reports of liver injuries and hepatitis: With use of the traditional medicine formula Sho-saiko-to, which contains bupleurum (25) (26)."	Liver injury,Injury,Hepatitis B,Hepatitis	Bupleurum	"Cytochrome P450 2C9 substrates: In vitro, bupleurum extracts inhibit CYPC29 and might affect the intracellular concentration of drugs metabolized by this enzyme (20). Clinical relevance has yet to be determined.
Cytochrome P450 2E1, 2D6, and 3A4 substrates:  Animal studies suggest that bupleurum can induce CYP2E1, CYP2D6 and CYP3A4 enzymes, but that herb-drug interactions are more likely at higher doses (27)."	Enzyme,Animal	Common colds,Fever,Inflammation,Liver disease	True	True
